dataset,split,preprocessing,experiment,model,artefact,variant,train_set,eval_set,seed,attack,decision_rule,metric,output_file
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",baselines,RandomForest,sklearn RF (300 trees),clean,FULL 1.10M,FULL test 367k,42,none,argmax,macro-F1/balAcc/MCC/FPR,models_summary.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",baselines,XGBoost,"XGBoost (400 trees, per-sample wts)",clean,FULL 1.10M,FULL test 367k,42,none,argmax,macro-F1/balAcc/MCC/FPR,models_summary.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",baselines,MLP (sklearn),sklearn MLPClassifier 128-64,clean,FULL 1.10M,FULL test 367k,42,none,argmax,macro-F1/balAcc/MCC/FPR,models_summary.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",baselines,1D-CNN,torch 1D-CNN,clean,FULL 1.10M,FULL test 367k,42,none,argmax,macro-F1/balAcc/MCC/FPR,models_summary.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",model_comparison,RandomForest,sklearn,clean,capped 25k/class (~200k),FULL test 367k,42,none,argmax,macro-F1 etc,model_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",model_comparison,XGBoost,sklearn,clean,capped 25k/class (~200k),FULL test 367k,42,none,argmax,macro-F1 etc,model_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",model_comparison,DecisionTree,sklearn,clean,capped 25k/class (~200k),FULL test 367k,42,none,argmax,macro-F1 etc,model_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",model_comparison,LogisticRegression,sklearn,clean,capped 25k/class (~200k),FULL test 367k,42,none,argmax,macro-F1 etc,model_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",model_comparison,MLP,sklearn MLPClassifier,clean,capped 25k/class (~200k),FULL test 367k,42,none,argmax,macro-F1 etc,model_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",model_comparison,DNN,torch net,clean,capped 25k/class (~200k),FULL test 367k,42,none,argmax,macro-F1 etc,model_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",model_comparison,1D-CNN,torch net,clean,capped 25k/class (~200k),FULL test 367k,42,none,argmax,macro-F1 etc,model_comparison.csv
