model,scheme,epsilon,attack_to_benign_fnr,evasion_rate
plain,fgsm_grad,0.0,0.039638932496075356,0.08290816326530612
plain,fgsm_grad,0.01,0.04532967032967033,0.09801805337519623
plain,fgsm_grad,0.02,0.05612244897959184,0.12470565149136578
plain,fgsm_grad,0.05,0.11077315541601256,0.24205259026687598
plain,fgsm_grad,0.1,0.2426412872841444,0.6355965463108321
plain,fgsm_grad,0.15,0.3656789638932496,0.8675431711145997
plain,fgsm_grad,0.2,0.4489795918367347,0.9790031397174255
plain,fgsm_grad,0.3,0.47517660910518056,1.0
plain,pgd_grad,0.0,0.039638932496075356,0.08290816326530612
plain,pgd_grad,0.01,0.04552590266875981,0.09860675039246468
plain,pgd_grad,0.02,0.05690737833594976,0.12578492935635793
plain,pgd_grad,0.05,0.12136970172684458,0.32152668759811615
plain,pgd_grad,0.1,0.27904238618524335,0.7142857142857143
plain,pgd_grad,0.15,0.41012558869701726,0.9377943485086342
plain,pgd_grad,0.2,0.43789246467817894,0.9999018838304553
plain,pgd_grad,0.3,0.440149136577708,1.0
hardened,fgsm_grad,0.0,0.01707221350078493,0.04287676609105181
hardened,fgsm_grad,0.01,0.01707221350078493,0.043072998430141285
hardened,fgsm_grad,0.02,0.017170329670329672,0.04326923076923077
hardened,fgsm_grad,0.05,0.017464678178963893,0.04356357927786499
hardened,fgsm_grad,0.1,0.01913265306122449,0.04601648351648352
hardened,fgsm_grad,0.15,0.022370486656200943,0.05209968602825746
hardened,fgsm_grad,0.2,0.030612244897959183,0.07319466248037676
hardened,fgsm_grad,0.3,0.08418367346938775,0.1949568288854003
hardened,pgd_grad,0.0,0.01707221350078493,0.04287676609105181
hardened,pgd_grad,0.01,0.01707221350078493,0.043072998430141285
hardened,pgd_grad,0.02,0.017170329670329672,0.04326923076923077
hardened,pgd_grad,0.05,0.017562794348508635,0.043759811616954476
hardened,pgd_grad,0.1,0.019819466248037678,0.047193877551020405
hardened,pgd_grad,0.15,0.02708006279434851,0.06387362637362637
hardened,pgd_grad,0.2,0.040620094191522765,0.13824568288854003
hardened,pgd_grad,0.3,0.2641287284144427,0.6185243328100472
