model,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,macro_fpr,macro_pr_auc,train_time_s
RandomForest,0.988815760822228,0.9745594481384954,0.965149650491689,0.9887106751666744,0.9706207715630076,0.0047439727021549,0.9951151858034768,7.3
XGBoost,0.9961267528960892,0.9858663464279156,0.9668320734547462,0.9961705990687498,0.9898941406592976,0.0005135669760127,0.9958053402564327,18.7
DecisionTree,0.98730783468339,0.9738788686520152,0.957244392181858,0.9872423696403144,0.9666469060078516,0.0049270430604183,0.9316788359325496,1.7
LogisticRegression,0.9887449917254596,0.9790062997182438,0.8806262080383072,0.9904033052494337,0.9712386398016764,0.0015367752948792,0.9321721207484794,23.8
MLP,0.9870683085097116,0.9728677786593216,0.9218877040410852,0.9872080877387934,0.9660453418240867,0.0049621590607942,0.9757173074753976,19.8
DNN,0.986888663879453,0.9692679831966536,0.9241144051685484,0.986903353198188,0.9655847695930664,0.0050175208553986,0.9872457954257132,35.3
1D-CNN,0.9909769401620068,0.9814537578596102,0.8929587178942022,0.9916775161179447,0.9767145180392928,0.0012737495689543,0.9907156821814096,260.1
LSTM,0.9338798885114538,0.9414179519013772,0.7197125401093527,0.9434219973058404,0.8471363992348356,0.0117643288624251,0.8705849527081126,137.5
GRU,0.959201615712917,0.942173297643359,0.766607449396607,0.9626746212980404,0.8960835761147365,0.010789777731424,0.9111098482970847,293.2
CNN-LSTM,0.9838782553784512,0.9684915602151408,0.9019824817392456,0.98437399459199,0.9578141858907732,0.0054343993730837,0.986685960764694,268.8
TabNet,0.9858271274279244,0.9822950324172811,0.8743826030244374,0.9876702894148188,0.9640522994710965,0.0019573021977747278,0.9633234741784964,114.4
