model,variant,scheme,epsilon,evasion_rate,attack_to_benign_fnr
MLP,plain,fgsm_grad,0.0,0.029532967032967,0.0025510204081632
MLP,plain,fgsm_grad,0.01,0.0355180533751962,0.002649136577708
MLP,plain,fgsm_grad,0.02,0.0424843014128728,0.0027472527472527
MLP,plain,fgsm_grad,0.05,0.056416797488226,0.0031397174254317
MLP,plain,fgsm_grad,0.1,0.1168563579277865,0.021193092621664
MLP,plain,fgsm_grad,0.15,0.1614992150706436,0.0337519623233908
MLP,plain,fgsm_grad,0.2,0.2029042386185243,0.0510204081632653
MLP,plain,fgsm_grad,0.3,0.4616365777080062,0.0785910518053375
MLP,plain,pgd_grad,0.0,0.029532967032967,0.0025510204081632
MLP,plain,pgd_grad,0.01,0.0355180533751962,0.002649136577708
MLP,plain,pgd_grad,0.02,0.0424843014128728,0.0027472527472527
MLP,plain,pgd_grad,0.05,0.0574960753532182,0.0031397174254317
MLP,plain,pgd_grad,0.1,0.1241169544740973,0.0213893249607535
MLP,plain,pgd_grad,0.15,0.1643445839874411,0.0346350078492935
MLP,plain,pgd_grad,0.2,0.2343995290423861,0.0553375196232339
MLP,plain,pgd_grad,0.3,0.5104003139717426,0.0820251177394034
MLP,hardened,fgsm_grad,0.0,0.0428767660910518,0.0179552590266875
MLP,hardened,fgsm_grad,0.01,0.0439560439560439,0.0179552590266875
MLP,hardened,fgsm_grad,0.02,0.0450353218210361,0.018151491365777
MLP,hardened,fgsm_grad,0.05,0.0479788069073783,0.0184458398744113
MLP,hardened,fgsm_grad,0.1,0.0530808477237048,0.0188383045525902
MLP,hardened,fgsm_grad,0.15,0.0614207221350078,0.0206043956043956
MLP,hardened,fgsm_grad,0.2,0.0677001569858712,0.0226648351648351
MLP,hardened,fgsm_grad,0.3,0.1035125588697017,0.034831240188383
MLP,hardened,pgd_grad,0.0,0.0428767660910518,0.0179552590266875
MLP,hardened,pgd_grad,0.01,0.0439560439560439,0.0179552590266875
MLP,hardened,pgd_grad,0.02,0.0450353218210361,0.018151491365777
